PS,,SS,
x [m],y [m],x [m],y [m]
0.02489563,-0.00014776,0.02467274,0.00584990
0.02494525,-0.00017720,0.02472682,0.00581190
0.02499481,-0.00020674,0.02478080,0.00577377
0.02504432,-0.00023637,0.02483470,0.00573552
0.02509377,-0.00026608,0.02488850,0.00569713
0.02514317,-0.00029589,0.02494221,0.00565862
0.02519251,-0.00032579,0.02499584,0.00561998
0.02524180,-0.00035578,0.02504937,0.00558122
0.02529103,-0.00038586,0.02510281,0.00554234
0.02534021,-0.00041603,0.02515616,0.00550333
0.02538933,-0.00044628,0.02520943,0.00546420
0.02543840,-0.00047663,0.02526260,0.00542495
0.02548742,-0.00050706,0.02531569,0.00538558
0.02553638,-0.00053758,0.02536868,0.00534609
0.02558529,-0.00056818,0.02542159,0.00530648
0.02563415,-0.00059887,0.02547441,0.00526676
0.02568295,-0.00062964,0.02552715,0.00522692
0.02573170,-0.00066050,0.02557979,0.00518696
0.02578039,-0.00069144,0.02563235,0.00514689
0.02582904,-0.00072247,0.02568482,0.00510671
0.02587763,-0.00075357,0.02573721,0.00506641
0.02592616,-0.00078476,0.02578951,0.00502600
0.02597465,-0.00081603,0.02584172,0.00498548
0.02602308,-0.00084739,0.02589385,0.00494485
0.02607146,-0.00087882,0.02594589,0.00490411
0.02611978,-0.00091033,0.02599785,0.00486327
0.02616806,-0.00094193,0.02604972,0.00482231
0.02621628,-0.00097360,0.02610151,0.00478125
0.02626446,-0.00100535,0.02615322,0.00474008
0.02631258,-0.00103718,0.02620484,0.00469881
0.02636064,-0.00106909,0.02625637,0.00465744
0.02640866,-0.00110107,0.02630783,0.00461596
0.02645663,-0.00113313,0.02635920,0.00457438
0.02650454,-0.00116527,0.02641049,0.00453269
0.02655241,-0.00119748,0.02646170,0.00449091
0.02660022,-0.00122977,0.02651283,0.00444903
0.02664798,-0.00126213,0.02656387,0.00440704
0.02669570,-0.00129457,0.02661483,0.00436496
0.02674336,-0.00132708,0.02666572,0.00432279
0.02679097,-0.00135966,0.02671652,0.00428051
0.02683853,-0.00139232,0.02676724,0.00423814
0.02688605,-0.00142505,0.02681789,0.00419568
0.02693351,-0.00145785,0.02686845,0.00415312
0.02698092,-0.00149072,0.02691894,0.00411046
0.02702829,-0.00152366,0.02696935,0.00406772
0.02707560,-0.00155668,0.02701968,0.00402488
0.02712287,-0.00158976,0.02706993,0.00398195
0.02717008,-0.00162292,0.02712010,0.00393893
0.02721725,-0.00165614,0.02717020,0.00389583
0.02726437,-0.00168944,0.02722022,0.00385263
0.02731144,-0.00172280,0.02727017,0.00380934
0.02735846,-0.00175623,0.02732003,0.00376597
